---,BattleType,EnemyClasses,MinPortalMoveCount,MaxPortalMoveCount
F001_003_V1_MegaspikanLarvae_x3,Normal,(),1,3
F001_003_V2_MegaspikanLarvae_x5,Normal,(),1,3
F001_003_V3_Minion_x1,Normal,(),1,3
F004_006_V1_MegaspikanLarvae_x2_Minion_x1,Normal,(),4,6
F004_006_V2_MegaspikanLarvae_x4_Minion_x1,Normal,(),4,6
F004_006_V3_Minion_x3,Normal,(),4,6
F007_009_V1_MegaspikanLarvae_x4_Minion_x1,Normal,(),7,9
F007_009_V2_MegaspikanLarvae_x2_Minion_x3,Normal,(),7,9
F007_009_V3_Minion_x3,Normal,(),7,9
F007_009_V4_Minion_x5,Normal,(),7,9
F010_012_V1_Minion_x3,Normal,(),10,12
F010_012_V2_Minion_x5,Normal,(),10,12
F010_012_V3_Sevarog_x1,Normal,(),10,12
F010_012_V4_Minion_x2_Sevarog_x1,Normal,(),10,12
F013_014_V1_Minion_x5,Normal,(),13,14
F013_014_V2_Sevarog_x1,Normal,(),13,14
F013_014_V3_Minion_x2_Sevarog_x1,Normal,(),13,14
F013_014_V4_Minion_x4_Sevarog_x1,Normal,(),13,14
